Light intensity 1%,,,,Light Intensity 3%,,,,Light Intensity 10%,,,,Light Intensity 16%,,,,Light Intensity 25%,,,,Light Intensity 32%,,,,Light Intensity 40%,,,,Light Intensity 50%,,,,Liight Intensity 63%,,,,Light Intensity 79%,,,,Light Intensity 93%,,,,Light Intensity 100%,,,,
Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,Voltage /V,Measured Current /A,,,
-4.90E-02,-1.82E-05,,,-4.90E-02,-3.66E-05,,,-4.90E-02,-1.23E-04,,,-4.90E-02,-1.69E-04,,,-4.90E-02,-2.75E-04,,,-4.90E-02,-3.75E-04,,,-4.90E-02,-4.62E-04,,,-4.90E-02,-5.50E-04,,,-4.90E-02,-6.87E-04,,,-4.90E-02,-8.37E-04,,,-4.90E-02,-9.86E-04,,,-4.90E-02,-1.05E-03,,,
-1.43E-02,-1.82E-05,,,-1.43E-02,-3.66E-05,,,-1.43E-02,-1.22E-04,,,-1.43E-02,-1.69E-04,,,-1.43E-02,-2.74E-04,,,-1.43E-02,-3.75E-04,,,-1.43E-02,-4.63E-04,,,-1.43E-02,-5.49E-04,,,-1.43E-02,-6.85E-04,,,-1.43E-02,-8.35E-04,,,-1.43E-02,-9.85E-04,,,-1.43E-02,-1.05E-03,,,
2.04E-02,-1.80E-05,,,2.04E-02,-3.68E-05,,,2.04E-02,-1.22E-04,,,2.04E-02,-1.68E-04,,,2.04E-02,-2.74E-04,,,2.04E-02,-3.75E-04,,,2.04E-02,-4.63E-04,,,2.04E-02,-5.47E-04,,,2.04E-02,-6.86E-04,,,2.04E-02,-8.32E-04,,,2.04E-02,-9.81E-04,,,2.04E-02,-1.05E-03,,,
5.51E-02,-1.79E-05,,,5.51E-02,-3.67E-05,,,5.51E-02,-1.22E-04,,,5.51E-02,-1.68E-04,,,5.51E-02,-2.74E-04,,,5.51E-02,-3.75E-04,,,5.51E-02,-4.61E-04,,,5.51E-02,-5.48E-04,,,5.51E-02,-6.84E-04,,,5.51E-02,-8.33E-04,,,5.51E-02,-9.81E-04,,,5.51E-02,-1.05E-03,,,
8.98E-02,-1.82E-05,,,8.98E-02,-3.65E-05,,,8.98E-02,-1.22E-04,,,8.98E-02,-1.68E-04,,,8.98E-02,-2.74E-04,,,8.98E-02,-3.75E-04,,,8.98E-02,-4.62E-04,,,8.98E-02,-5.50E-04,,,8.98E-02,-6.85E-04,,,8.98E-02,-8.35E-04,,,8.98E-02,-9.84E-04,,,8.98E-02,-1.05E-03,,,
1.24E-01,-1.82E-05,,,1.24E-01,-3.65E-05,,,1.24E-01,-1.22E-04,,,1.24E-01,-1.68E-04,,,1.24E-01,-2.73E-04,,,1.24E-01,-3.74E-04,,,1.24E-01,-4.62E-04,,,1.24E-01,-5.47E-04,,,1.24E-01,-6.84E-04,,,1.24E-01,-8.33E-04,,,1.24E-01,-9.86E-04,,,1.24E-01,-1.05E-03,,,
1.59E-01,-1.81E-05,,,1.59E-01,-3.65E-05,,,1.59E-01,-1.22E-04,,,1.59E-01,-1.68E-04,,,1.59E-01,-2.72E-04,,,1.59E-01,-3.75E-04,,,1.59E-01,-4.62E-04,,,1.59E-01,-5.45E-04,,,1.59E-01,-6.81E-04,,,1.59E-01,-8.28E-04,,,1.59E-01,-9.79E-04,,,1.59E-01,-1.05E-03,,,
1.94E-01,-1.80E-05,,,1.94E-01,-3.63E-05,,,1.94E-01,-1.22E-04,,,1.94E-01,-1.68E-04,,,1.94E-01,-2.72E-04,,,1.94E-01,-3.75E-04,,,1.94E-01,-4.60E-04,,,1.94E-01,-5.46E-04,,,1.94E-01,-6.85E-04,,,1.94E-01,-8.34E-04,,,1.94E-01,-9.79E-04,,,1.94E-01,-1.05E-03,,,
2.29E-01,-1.80E-05,,,2.29E-01,-3.65E-05,,,2.29E-01,-1.22E-04,,,2.29E-01,-1.68E-04,,,2.29E-01,-2.72E-04,,,2.29E-01,-3.74E-04,,,2.29E-01,-4.61E-04,,,2.29E-01,-5.47E-04,,,2.29E-01,-6.85E-04,,,2.29E-01,-8.33E-04,,,2.29E-01,-9.79E-04,,,2.29E-01,-1.07E-03,,,
2.63E-01,-1.79E-05,,,2.63E-01,-3.64E-05,,,2.63E-01,-1.22E-04,,,2.63E-01,-1.67E-04,,,2.63E-01,-2.72E-04,,,2.63E-01,-3.73E-04,,,2.63E-01,-4.59E-04,,,2.63E-01,-5.46E-04,,,2.63E-01,-6.82E-04,,,2.63E-01,-8.29E-04,,,2.63E-01,-9.77E-04,,,2.63E-01,-1.05E-03,,,
